seed,config,type,totalJobs,finishedJobs,avgCompletion,avgWaiting,util
4096829159,config.txt,base_truth,999,775,23.791,20.6813,0.628794
4096829159,config.txt,base_strat,999,780,23.8038,20.7,0.6287
4096829159,config.txt,da_truth,999,764,8.94764,5.8534,0.508794
4096829159,config.txt,da_strat,999,759,8.65217,5.54282,0.511395
4096829160,config.txt,base_truth,999,799,21.408,18.4731,0.617735
4096829160,config.txt,base_strat,999,805,21.0261,18.0882,0.614261
4096829160,config.txt,da_truth,999,785,7.83439,4.86369,0.497501
4096829160,config.txt,da_strat,999,786,8.90076,5.95802,0.499595
4096829161,config.txt,base_truth,999,743,27.2046,24.2301,0.608107
4096829161,config.txt,base_strat,999,744,27.0081,24.0457,0.608353
4096829161,config.txt,da_truth,999,757,8.90621,5.99736,0.487293
4096829161,config.txt,da_strat,999,751,8.92543,6.00799,0.487638
4096829162,config.txt,base_truth,999,752,26.2301,23.266,0.62014
4096829162,config.txt,base_strat,999,753,25.8792,22.9256,0.618731
4096829162,config.txt,da_truth,999,754,8.66976,5.68037,0.503496
4096829162,config.txt,da_strat,999,758,8.6095,5.63325,0.511695
4096829163,config.txt,base_truth,999,881,17.4495,14.4733,0.609069
4096829163,config.txt,base_strat,999,888,17.3851,14.4122,0.607995
4096829163,config.txt,da_truth,999,847,7.96812,5.00236,0.493875
4096829163,config.txt,da_strat,999,842,8.72803,5.74822,0.498646
4096829164,config.txt,base_truth,999,759,27.6535,24.7128,0.605234
4096829164,config.txt,base_strat,999,752,27.9668,25.0279,0.603037
4096829164,config.txt,da_truth,999,751,7.89614,4.92144,0.485216
4096829164,config.txt,da_strat,999,749,8.43925,5.4713,0.489961
4096829165,config.txt,base_truth,999,846,18.1111,15.2069,0.610625
4096829165,config.txt,base_strat,999,846,18.4279,15.526,0.608189
4096829165,config.txt,da_truth,999,824,7.19053,4.29248,0.501371
4096829165,config.txt,da_strat,999,814,7.30344,4.42629,0.495366
4096829166,config.txt,base_truth,999,810,23.7284,20.7407,0.621034
4096829166,config.txt,base_strat,999,815,23.2785,20.2896,0.620521
4096829166,config.txt,da_truth,999,786,9.55852,6.56997,0.503499
4096829166,config.txt,da_strat,999,787,9.92503,6.93647,0.506579
4096829167,config.txt,base_truth,999,825,19.2194,16.2109,0.624901
4096829167,config.txt,base_strat,999,817,19.6622,16.6536,0.622491
4096829167,config.txt,da_truth,999,800,8.055,5.0075,0.518009
4096829167,config.txt,da_strat,999,805,8.26832,5.21863,0.528763
4096829168,config.txt,base_truth,999,757,24.9221,21.9445,0.626001
4096829168,config.txt,base_strat,999,753,24.9482,21.9734,0.624675
4096829168,config.txt,da_truth,999,763,7.47444,4.52818,0.497525
4096829168,config.txt,da_strat,999,751,7.60453,4.63249,0.499872
4096829169,config.txt,base_truth,999,834,24.0156,20.9484,0.619704
4096829169,config.txt,base_strat,999,836,22.7632,19.6878,0.615703
4096829169,config.txt,da_truth,999,812,8.84113,5.76847,0.504546
4096829169,config.txt,da_strat,999,797,8.91593,5.83438,0.500773
4096829170,config.txt,base_truth,999,759,24.3452,21.357,0.60505
4096829170,config.txt,base_strat,999,744,24.5269,21.5457,0.602686
4096829170,config.txt,da_truth,999,750,8.036,5.03067,0.484231
4096829170,config.txt,da_strat,999,750,8.04667,5.04,0.495951
4096829171,config.txt,base_truth,999,826,21.931,18.914,0.620147
4096829171,config.txt,base_strat,999,818,21.4071,18.3875,0.618188
4096829171,config.txt,da_truth,999,789,8.24715,5.24335,0.495847
4096829171,config.txt,da_strat,999,786,8.65394,5.65522,0.499487
4096829172,config.txt,base_truth,999,822,18.1168,15.0876,0.61011
4096829172,config.txt,base_strat,999,821,18.5895,15.5627,0.608709
4096829172,config.txt,da_truth,999,796,7.45101,4.40578,0.500791
4096829172,config.txt,da_strat,999,783,7.92848,4.86207,0.498261
4096829173,config.txt,base_truth,999,788,25.5647,22.6485,0.616159
4096829173,config.txt,base_strat,999,796,25.0364,22.1206,0.615727
4096829173,config.txt,da_truth,999,774,8.93928,6.0155,0.498754
4096829173,config.txt,da_strat,999,773,9.26391,6.35446,0.501869
4096829174,config.txt,base_truth,999,767,24.6545,21.6415,0.619054
4096829174,config.txt,base_strat,999,782,23.5652,20.5486,0.616974
4096829174,config.txt,da_truth,999,778,7.64267,4.65039,0.494563
4096829174,config.txt,da_strat,999,779,8.20154,5.26573,0.485248
4096829175,config.txt,base_truth,999,806,22.6042,19.5385,0.604837
4096829175,config.txt,base_strat,999,821,21.7308,18.6699,0.603155
4096829175,config.txt,da_truth,999,800,9.06,5.95375,0.511775
4096829175,config.txt,da_strat,999,786,9.06489,5.95802,0.499727
4096829176,config.txt,base_truth,999,769,21.7633,18.7802,0.616565
4096829176,config.txt,base_strat,999,768,22.3451,19.3672,0.611651
4096829176,config.txt,da_truth,999,755,6.67815,3.70993,0.481763
4096829176,config.txt,da_strat,999,753,6.65737,3.69456,0.485157
4096829177,config.txt,base_truth,999,726,25.9931,22.9435,0.619615
4096829177,config.txt,base_strat,999,715,25.8126,22.7483,0.615751
4096829177,config.txt,da_truth,999,722,9.0651,5.91551,0.510638
4096829177,config.txt,da_strat,999,718,9.74234,6.61003,0.507569
4096829178,config.txt,base_truth,999,738,23.4431,20.4539,0.608233
4096829178,config.txt,base_strat,999,733,23.5184,20.5252,0.60998
4096829178,config.txt,da_truth,999,731,7.18331,4.15595,0.493113
4096829178,config.txt,da_strat,999,732,7.34836,4.31284,0.504831
4096829179,config.txt,base_truth,999,761,24.8922,21.9514,0.611569
4096829179,config.txt,base_strat,999,764,24.0772,21.1335,0.611087
4096829179,config.txt,da_truth,999,775,8.29161,5.38968,0.49409
4096829179,config.txt,da_strat,999,763,8.73526,5.827,0.493945
4096829180,config.txt,base_truth,999,911,16.5477,13.5763,0.619858
4096829180,config.txt,base_strat,999,910,16.7308,13.7582,0.618523
4096829180,config.txt,da_truth,999,844,7.30569,4.33294,0.5
4096829180,config.txt,da_strat,999,845,7.89112,4.91006,0.510305
4096829181,config.txt,base_truth,999,825,22.9309,19.8327,0.628134
4096829181,config.txt,base_strat,999,818,23.1491,20.0452,0.626553
4096829181,config.txt,da_truth,999,816,8.57721,5.50613,0.511361
4096829181,config.txt,da_strat,999,806,9.01861,5.9206,0.508109
4096829182,config.txt,base_truth,999,839,20.5042,17.5137,0.60939
4096829182,config.txt,base_strat,999,846,20.1265,17.13,0.608089
4096829182,config.txt,da_truth,999,803,8.27148,5.25405,0.505746
4096829182,config.txt,da_strat,999,793,8.36822,5.3367,0.504085
4096829183,config.txt,base_truth,999,757,23.9445,20.9498,0.617218
4096829183,config.txt,base_strat,999,755,24.057,21.0609,0.617908
4096829183,config.txt,da_truth,999,767,8.94524,6.03259,0.488672
4096829183,config.txt,da_strat,999,758,8.60554,5.66491,0.491135
4096829184,config.txt,base_truth,999,898,18.9766,16.0022,0.609053
4096829184,config.txt,base_strat,999,896,19.3348,16.3549,0.607259
4096829184,config.txt,da_truth,999,838,8.51551,5.48449,0.506925
4096829184,config.txt,da_strat,999,832,8.83053,5.78966,0.507134
4096829185,config.txt,base_truth,999,777,23.7671,20.7143,0.615028
4096829185,config.txt,base_strat,999,783,23.3078,20.2542,0.611227
4096829185,config.txt,da_truth,999,774,8.77649,5.72481,0.503685
4096829185,config.txt,da_strat,999,772,8.95725,5.91321,0.50591
4096829186,config.txt,base_truth,999,751,25.9081,22.9441,0.604835
4096829186,config.txt,base_strat,999,750,25.376,22.4093,0.602637
4096829186,config.txt,da_truth,999,759,8.4888,5.53491,0.494706
4096829186,config.txt,da_strat,999,755,8.93775,5.99205,0.497952
4096829187,config.txt,base_truth,999,763,23.0852,20.0642,0.623968
4096829187,config.txt,base_strat,999,770,22.6532,19.6351,0.621636
4096829187,config.txt,da_truth,999,761,7.32589,4.31143,0.502575
4096829187,config.txt,da_strat,999,748,7.11765,4.11631,0.487516
4096829188,config.txt,base_truth,999,838,20.6241,17.5919,0.62361
4096829188,config.txt,base_strat,999,846,20.0083,16.9645,0.623336
4096829188,config.txt,da_truth,999,808,8.01856,4.96411,0.503821
4096829188,config.txt,da_strat,999,803,8.03611,4.99004,0.50199
4096829189,config.txt,base_truth,999,779,23.43,20.4056,0.613499
4096829189,config.txt,base_strat,999,769,23.5189,20.4954,0.61288
4096829189,config.txt,da_truth,999,780,9.83462,6.84872,0.485792
4096829189,config.txt,da_strat,999,779,10.0064,7.01155,0.494026
4096829190,config.txt,base_truth,999,816,21.6066,18.6397,0.616539
4096829190,config.txt,base_strat,999,807,21.5688,18.5948,0.611762
4096829190,config.txt,da_truth,999,797,8.51317,5.49561,0.503353
4096829190,config.txt,da_strat,999,792,8.93056,5.92803,0.501134
4096829191,config.txt,base_truth,999,818,22.4108,19.434,0.61081
4096829191,config.txt,base_strat,999,816,21.5368,18.5539,0.609234
4096829191,config.txt,da_truth,999,797,7.68256,4.72773,0.494229
4096829191,config.txt,da_strat,999,799,8.6433,5.69837,0.500626
4096829192,config.txt,base_truth,999,821,20.151,17.2424,0.608389
4096829192,config.txt,base_strat,999,817,19.8629,16.9474,0.607689
4096829192,config.txt,da_truth,999,793,8.1034,5.16267,0.500093
4096829192,config.txt,da_strat,999,790,7.86582,4.9519,0.495987
4096829193,config.txt,base_truth,999,820,22.4354,19.4098,0.617758
4096829193,config.txt,base_strat,999,823,21.8858,18.8566,0.616837
4096829193,config.txt,da_truth,999,796,8.55653,5.53392,0.498526
4096829193,config.txt,da_strat,999,797,9.38519,6.35508,0.509211
4096829194,config.txt,base_truth,999,755,24.5841,21.547,0.628087
4096829194,config.txt,base_strat,999,753,24.8752,21.8446,0.625572
4096829194,config.txt,da_truth,999,761,9.06176,6.09855,0.498315
4096829194,config.txt,da_strat,999,762,8.76247,5.81365,0.503546
4096829195,config.txt,base_truth,999,791,22.1947,19.1593,0.634137
4096829195,config.txt,base_strat,999,791,21.7699,18.7332,0.632908
4096829195,config.txt,da_truth,999,762,8.021,5.00919,0.503877
4096829195,config.txt,da_strat,999,760,7.66974,4.63421,0.514279
4096829196,config.txt,base_truth,999,792,23.875,20.952,0.610803
4096829196,config.txt,base_strat,999,784,24.3304,21.412,0.607014
4096829196,config.txt,da_truth,999,777,8.63964,5.69112,0.500389
4096829196,config.txt,da_strat,999,772,9.22539,6.27073,0.504663
4096829197,config.txt,base_truth,999,792,22.6136,19.4987,0.634081
4096829197,config.txt,base_strat,999,786,22.8486,19.7303,0.632595
4096829197,config.txt,da_truth,999,777,9.0103,5.92793,0.512124
4096829197,config.txt,da_strat,999,777,8.79279,5.72587,0.517539
4096829198,config.txt,base_truth,999,788,24.632,21.7614,0.602741
4096829198,config.txt,base_strat,999,780,25.1756,22.2949,0.59977
4096829198,config.txt,da_truth,999,768,8.0013,5.11849,0.486534
4096829198,config.txt,da_strat,999,767,8.48761,5.59192,0.495352
4096829199,config.txt,base_truth,999,757,25.2721,22.2114,0.631805
4096829199,config.txt,base_strat,999,770,23.7026,20.6442,0.630606
4096829199,config.txt,da_truth,999,767,8.5528,5.52282,0.500749
